fileobject_id,tag,text,attrib,new_file,file_offset,fs_offset,img_offset,len,type,changed_file,deleted_file,changed_property,modified_file,uncompressed_len,fill
7,name_type,-,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
7,filesize,94,{},,,,,,,,,,,,
7,alloc,0,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
7,used,1,{},,,,,,,,,,,,
7,inode,89429,{},,,,,,,,,,,,
7,meta_type,1,{},,,,,,,,,,,,
7,mode,511,{},,,,,,,,,,,,
7,nlink,1,{},,,,,,,,,,,,
7,uid,0,{},,,,,,,,,,,,
7,gid,0,{},,,,,,,,,,,,
7,mtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
7,ctime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
7,atime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
7,crtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
7,seq,3,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
7,byte_runs,,{},,,,,,,,,,,,
7,byte_run,,"{'fs_offset': '0', 'type': 'resident', 'len': '94', 'img_offset': '1048576', 'file_offset': '0'}",,0,0,1048576,94,resident,,,,,,
7,hashdigest,ed2c04ecba45de6ce1d6e2f4f8dfa007,{'type': 'md5'},,,,,,md5,,,,,,
7,hashdigest,9bd40534fcff58430491e613ef7cd47285d0f61d,{'type': 'sha1'},,,,,,sha1,,,,,,
7,original_fileobject,,{},,,,,,,,,,,,
7,parent_object,,{},,,,,,,,,,,,
7,inode,92206,{},,,,,,,,,,,,
7,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$IFKNKJJ.GIF,{},,,,,,,,,,,,
7,partition,1,{},,,,,,,,,,,,
7,id,44,{},,,,,,,,,,,,
7,name_type,r,{},,,,,,,,,,,,
7,filesize,94,{},,,,,,,,,,,,
7,alloc,1,{},,,,,,,,,,,,
7,used,1,{},,,,,,,,,,,,
7,inode,89429,{},,,,,,,,,,,,
7,meta_type,1,{},,,,,,,,,,,,
7,mode,511,{},,,,,,,,,,,,
